"","ID","observation","code"
"502",126,"OXTOFNC2",77
"503",126,"PMICFNC2",77
"504",126,"XLMEFNC2",77
"505",127,"MCTLFNC2",77
"506",127,"OXTOFNC2",77
"507",127,"PMICFNC2",-1
"508",127,"XLMEFNC2",77
"509",128,"MCTLFNC2",-1
"510",128,"OXTOFNC2",77
"511",128,"PMICFNC2",77
"512",128,"XLMEFNC2",77
"513",129,"MCTLFNC2",77
"514",129,"OXTOFNC2",77
"515",129,"PMICFNC2",77
"516",129,"XLMEFNC2",77
"517",130,"MCTLFNC2",77
"518",130,"OXTOFNC2",-1
"519",130,"PMICFNC2",77
"520",130,"XLMEFNC2",77
"521",131,"MCTLFNC2",77
"522",131,"OXTOFNC2",77
"523",131,"PMICFNC2",77
"524",131,"XLMEFNC2",77
"525",132,"MCTLFNC2",77
"526",132,"OXTOFNC2",77
"527",132,"PMICFNC2",77
"528",132,"XLMEFNC2",77
"529",133,"MCTLFNC2",-1
"530",133,"OXTOFNC2",77
"531",133,"PMICFNC2",77
"532",133,"XLMEFNC2",77
"533",134,"MCTLFNC2",77
"534",134,"OXTOFNC2",77
"535",134,"PMICFNC2",77
"536",134,"XLMEFNC2",77
"537",135,"MCTLFNC2",77
"538",135,"OXTOFNC2",77
"539",135,"PMICFNC2",-1
"540",135,"XLMEFNC2",77
"541",136,"MCTLFNC2",77
"542",136,"OXTOFNC2",77
"543",136,"PMICFNC2",77
"544",136,"XLMEFNC2",77
"545",137,"MCTLFNC2",77
"546",137,"OXTOFNC2",77
"547",137,"PMICFNC2",77
"548",137,"XLMEFNC2",77
"549",138,"MCTLFNC2",77
"550",138,"OXTOFNC2",77
"551",138,"PMICFNC2",77
"552",138,"XLMEFNC2",77
"553",139,"MCTLFNC2",-1
"554",139,"OXTOFNC2",77
"555",139,"PMICFNC2",-1
"556",139,"XLMEFNC2",-1
"557",140,"MCTLFNC2",77
"558",140,"OXTOFNC2",-1
"559",140,"PMICFNC2",77
"560",140,"XLMEFNC2",77
"561",141,"MCTLFNC2",77
"562",141,"OXTOFNC2",77
"563",141,"PMICFNC2",77
"564",141,"XLMEFNC2",77
"565",142,"MCTLFNC2",77
"566",142,"OXTOFNC2",77
"567",142,"PMICFNC2",77
"568",142,"XLMEFNC2",77
"569",143,"MCTLFNC2",77
"570",143,"OXTOFNC2",77
"571",143,"PMICFNC2",77
"572",143,"XLMEFNC2",77
"573",144,"MCTLFNC2",77
"574",144,"OXTOFNC2",77
"575",144,"PMICFNC2",77
"576",144,"XLMEFNC2",77
"577",145,"MCTLFNC2",77
"578",145,"OXTOFNC2",77
"579",145,"PMICFNC2",77
"580",145,"XLMEFNC2",77
"581",146,"MCTLFNC2",77
"582",146,"OXTOFNC2",77
"583",146,"PMICFNC2",77
"584",146,"XLMEFNC2",77
"585",147,"MCTLFNC2",-1
"586",147,"OXTOFNC2",77
"587",147,"PMICFNC2",77
"588",147,"XLMEFNC2",77
"589",148,"MCTLFNC2",77
"590",148,"OXTOFNC2",77
"591",148,"PMICFNC2",77
"592",148,"XLMEFNC2",77
"593",149,"MCTLFNC2",77
"594",149,"OXTOFNC2",77
"595",149,"PMICFNC2",77
"596",149,"XLMEFNC2",77
"597",150,"MCTLFNC2",77
"598",150,"OXTOFNC2",77
"599",150,"PMICFNC2",77
"600",150,"XLMEFNC2",77
"601",151,"MCTLFNC2",77
"602",151,"OXTOFNC2",77
"603",151,"PMICFNC2",77
"604",151,"XLMEFNC2",77
"605",152,"MCTLFNC2",77
"606",152,"OXTOFNC2",77
"607",152,"PMICFNC2",77
"608",152,"XLMEFNC2",77
"609",153,"MCTLFNC2",77
"610",153,"OXTOFNC2",77
"611",153,"PMICFNC2",77
"612",153,"XLMEFNC2",77
"613",154,"MCTLFNC2",77
"614",154,"OXTOFNC2",77
"615",154,"PMICFNC2",77
"616",154,"XLMEFNC2",77
"617",155,"MCTLFNC2",77
"618",155,"OXTOFNC2",77
"619",155,"PMICFNC2",77
"620",155,"XLMEFNC2",77
"621",156,"MCTLFNC2",77
"622",156,"OXTOFNC2",77
"623",156,"PMICFNC2",77
"624",156,"XLMEFNC2",77
"625",157,"MCTLFNC2",77
"626",157,"OXTOFNC2",77
"627",157,"PMICFNC2",77
"628",157,"XLMEFNC2",77
"629",158,"MCTLFNC2",77
"630",158,"OXTOFNC2",77
"631",158,"PMICFNC2",77
"632",158,"XLMEFNC2",77
"633",159,"MCTLFNC2",77
"634",159,"OXTOFNC2",77
"635",159,"PMICFNC2",77
"636",159,"XLMEFNC2",77
"637",160,"MCTLFNC2",77
"638",160,"OXTOFNC2",77
"639",160,"PMICFNC2",77
"640",160,"XLMEFNC2",77
"641",161,"MCTLFNC2",77
"642",161,"OXTOFNC2",77
"643",161,"PMICFNC2",77
"644",161,"XLMEFNC2",77
"645",162,"MCTLFNC2",77
"646",162,"OXTOFNC2",77
"647",162,"PMICFNC2",77
"648",162,"XLMEFNC2",77
"649",163,"MCTLFNC2",-1
"650",163,"OXTOFNC2",-1
"651",163,"PMICFNC2",-1
"652",163,"XLMEFNC2",-1
"653",164,"MCTLFNC2",-1
"654",164,"OXTOFNC2",-1
"655",164,"PMICFNC2",-1
"656",164,"XLMEFNC2",-1
"657",165,"MCTLFNC2",77
"658",165,"OXTOFNC2",77
"659",165,"PMICFNC2",77
"660",165,"XLMEFNC2",77
"661",166,"MCTLFNC2",77
"662",166,"OXTOFNC2",77
"663",166,"PMICFNC2",77
"664",166,"XLMEFNC2",77
"665",167,"MCTLFNC2",77
"666",167,"OXTOFNC2",77
