"ORD_A","ORD_F","archInterp","funcInterp","count","arch_total","arch_pct","func_total","func_pct","PairIndex","count_LC","arch_pct_LC","func_pct_LC","PairIndex_LC"
9,151,"apartment compound","residential workshop",130,4705,0.0276301806588735,244,0.532786885245902,0.560417065904775,65,0.0278134360290971,0.764705882352941,0.792519318382038
139,14,"probably not occupied or utilized in this period","cultivated field",52,6729,0.00772774557883787,113,0.460176991150442,0.46790473672928,14,0.0187919463087248,0.56,0.578791946308725
55,113,"no plausible alternative to the primary interpretation","pottery workshop",12,14583,0.000822875951450319,28,0.428571428571429,0.429394304522879,6,0.00161725067385445,0.461538461538462,0.463155712212316
36,193,"cave",NA,12,31,0.387096774193548,3128,0.00383631713554987,0.390933091329098,3,0.375,0.00659340659340659,0.381593406593407
70,15,"occupation without durable structures","cultivated field",38,1165,0.032618025751073,113,0.336283185840708,0.368901211591781,5,0.015527950310559,0.2,0.215527950310559
149,9,"probably not occupied or utilized in this period","altar",1,6729,0.000148610491900728,3,0.333333333333333,0.333481943825234,NA,NA,NA,NA
15,114,"apartment compound","pottery workshop",8,4705,0.00170031880977683,28,0.285714285714286,0.287414604524063,4,0.00171159606332905,0.307692307692308,0.309403903755637
48,64,"no plausible alternative to the primary interpretation","obsidian workshop",71,14583,0.00486868271274772,258,0.275193798449612,0.28006248116236,25,0.00673854447439353,0.28735632183908,0.294094866313474
158,152,"room group","residential workshop",60,2458,0.0244100895036615,244,0.245901639344262,0.270311728847924,NA,NA,NA,NA
68,65,"occupation without durable structures","obsidian workshop",53,1165,0.0454935622317597,258,0.205426356589147,0.250919918820907,19,0.0590062111801242,0.218390804597701,0.277397015777825
46,120,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",906,14583,0.0621271343344991,5305,0.170782280867107,0.232909415201606,211,0.0568733153638814,0.179574468085106,0.236447783448988
95,74,"platform with other structures on it","other",32,451,0.0709534368070953,220,0.145454545454545,0.216407982261641,11,0.0670731707317073,0.139240506329114,0.206313677060821
11,66,"apartment compound","obsidian workshop",52,4705,0.0110520722635494,258,0.201550387596899,0.212602459860449,25,0.0106974753958066,0.28735632183908,0.298053797234887
44,78,"free-standing wall or segment of wall","other",16,121,0.132231404958678,220,0.0727272727272727,0.20495867768595,8,0.173913043478261,0.10126582278481,0.275178866263071
135,137,"primary interpretation is the best assessment of a very ambiguous situation","puesto",2,4655,0.000429645542427497,10,0.2,0.200429645542428,1,0.00098135426889107,0.25,0.250981354268891
62,136,"no plausible alternative to the primary interpretation","puesto",2,14583,0.000137145991908386,10,0.2,0.200137145991908,1,0.000269541778975741,0.25,0.250269541778976
14,88,"apartment compound","other type of workshop or craft production area",8,4705,0.00170031880977683,41,0.195121951219512,0.196822270029289,4,0.00171159606332905,0.266666666666667,0.268378262729996
82,192,"other",NA,23,126,0.182539682539683,3128,0.00735294117647059,0.189892623716153,8,0.170212765957447,0.0175824175824176,0.187795183539864
143,2,"probably not occupied or utilized in this period","\""civic\"" structure, but not a temple",11,6729,0.00163471541090801,62,0.17741935483871,0.179054070249618,NA,NA,NA,NA
51,153,"no plausible alternative to the primary interpretation","residential workshop",42,14583,0.00288006583007612,244,0.172131147540984,0.17501121337106,16,0.00431266846361186,0.188235294117647,0.192547962581259
128,110,"primary interpretation is the best assessment of a very ambiguous situation","possible ball court",4,4655,0.000859291084854995,24,0.166666666666667,0.167525957751522,1,0.00098135426889107,0.125,0.125981354268891
39,126,"cemetery","primary interpretation is the best assessment of a very ambiguous situation",7,45,0.155555555555556,5305,0.00131950989632422,0.15687506545188,2,0.125,0.00170212765957447,0.126702127659574
40,71,"cemetery","obsidian workshop",6,45,0.133333333333333,258,0.0232558139534884,0.156589147286822,2,0.125,0.0229885057471264,0.147988505747126
73,44,"occupation without durable structures","market or part of a market",6,1165,0.00515021459227468,40,0.15,0.155150214592275,2,0.0062111801242236,0.125,0.131211180124224
8,140,"apartment compound","residence of uncertain status",253,4705,0.0537725823591923,2533,0.0998815633636005,0.153654145722793,122,0.0522036799315362,0.859154929577465,0.911358609509001
27,43,"casa humilde","market or part of a market",6,2358,0.00254452926208651,40,0.15,0.152544529262087,2,0.00326797385620915,0.125,0.128267973856209
74,89,"occupation without durable structures","other type of workshop or craft production area",6,1165,0.00515021459227468,41,0.146341463414634,0.151491678006909,2,0.0062111801242236,0.133333333333333,0.139544513457557
87,111,"other","possible ball court",3,126,0.0238095238095238,24,0.125,0.148809523809524,1,0.0212765957446809,0.125,0.146276595744681
41,45,"cemetery","market or part of a market",3,45,0.0666666666666667,40,0.075,0.141666666666667,1,0.0625,0.0625,0.125
157,22,"room group","high status residence",70,2458,0.0284784377542718,636,0.110062893081761,0.138541330836033,34,0.390804597701149,0.107936507936508,0.498741105637657
170,75,"simple platform","other",21,623,0.0337078651685393,220,0.0954545454545455,0.129162410623085,7,0.0419161676646707,0.0886075949367089,0.13052376260138
92,5,"platform in plaza (momoztli)","\""civic\"" structure, but not a temple",2,23,0.0869565217391304,62,0.032258064516129,0.119214586255259,1,0.111111111111111,0.0434782608695652,0.154589371980676
121,16,"primary interpretation is the best assessment of a very ambiguous situation","cultivated field",13,4655,0.00279269602577873,113,0.115044247787611,0.117836943813389,3,0.00294406280667321,0.12,0.122944062806673
176,48,"simple platform","momoztli (platform in plaza)",3,623,0.00481540930979133,27,0.111111111111111,0.115926520420902,1,0.00598802395209581,0.1,0.105988023952096
160,67,"room group","obsidian workshop",27,2458,0.0109845402766477,258,0.104651162790698,0.115635703067345,1,0.0114942528735632,0.0114942528735632,0.0229885057471264
130,47,"primary interpretation is the best assessment of a very ambiguous situation","momoztli (platform in plaza)",3,4655,0.000644468313641246,27,0.111111111111111,0.111755579424752,1,0.00098135426889107,0.1,0.100981354268891
66,36,"occupation without durable structures","low status residential, no obvious occupational specialization",81,1165,0.0695278969957082,2287,0.0354175776125929,0.104945474608301,18,0.0559006211180124,0.0297520661157025,0.0856526872337149
129,13,"primary interpretation is the best assessment of a very ambiguous situation","cemetery",3,4655,0.000644468313641246,31,0.0967741935483871,0.0974186618620283,1,0.00098135426889107,0.0909090909090909,0.091890445177982
37,60,"cave","no plausible alternative to the pirmary interpretation",3,31,0.0967741935483871,13644,0.000219876868953386,0.0969940704173405,1,0.125,0.000291545189504373,0.125291545189504
