"","DF8_VAR_ID","DF8_Variable","In_Structure","populated","In_Form","DF9_Table","DF9_Variable","DF9_Codes_Table","DF9_Comments","DF9_PROBLEM","DF10_Variable","DF10_Table","DF10_Removed","DF10_Aggregated","DF10_Renamed","DF10_New","DF10_Comments"
"260",260,"METENUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinMete","-1","-1",FALSE,"nubbinMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"261",261,"STMPSHRD",TRUE,TRUE,TRUE,"cerVessel","shrdStamped","-1","-1",FALSE,"shrdStamped","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"262",262,"PLRFSHRD",TRUE,TRUE,TRUE,"cerVessel","shrdPlanoR","-1","-1",FALSE,"shrdPlanoR","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"263",263,"STCCSHRD",TRUE,TRUE,TRUE,"cerVessel","shrdStucco","-1","-1",FALSE,"shrdStucco","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"264",264,"INCISHRD",TRUE,TRUE,TRUE,"cerVessel","shrdIncised","-1","-1",FALSE,"shrdIncised","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"265",265,"FRNSHTOT",TRUE,TRUE,TRUE,"cerVessel","foreignTot","-1","-1",FALSE,"foreignTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"266",266,"LOWMAYA",TRUE,TRUE,TRUE,"cerVessel","mayaLow","-1","-1",FALSE,"mayaLow","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"267",267,"HIGHMAYA",TRUE,TRUE,TRUE,"cerVessel","mayaHigh","-1","-1",FALSE,"mayaHigh","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"268",268,"HUASTEC",TRUE,TRUE,TRUE,"cerVessel","huastec","-1","-1",FALSE,"huastec","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"269",269,"TAJIN",TRUE,TRUE,TRUE,"cerVessel","tajin","-1","-1",FALSE,"tajin","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"270",270,"GULFCST",TRUE,TRUE,TRUE,"cerVessel","gulfCoast","-1","-1",FALSE,"gulfCoast","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"271",271,"MONTEALB",TRUE,TRUE,TRUE,"cerVessel","monteAlban","-1","-1",FALSE,"monteAlban","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"272",272,"OAXACA",TRUE,TRUE,TRUE,"cerVessel","oaxaca","-1","-1",FALSE,"oaxaca","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"273",273,"OTHFRN",TRUE,TRUE,TRUE,"cerVessel","foreignOther","-1","-1",FALSE,"foreignOther","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"274",274,"ADORNOS",TRUE,TRUE,TRUE,"cerVessel","adornos","-1","-1",FALSE,"adornos","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"275",275,"MINIATUR",TRUE,TRUE,TRUE,"cerVessel","minatures","-1","-1",FALSE,"minatures","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"276",276,"COPAS",TRUE,TRUE,TRUE,"cerVessel","copas","-1","-1",FALSE,"copas","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"277",277,"MATTWARE",TRUE,TRUE,TRUE,"cerVessel","matteWare","-1","-1",FALSE,"matteWare","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"278",278,"GRANTOTS",TRUE,TRUE,TRUE,"cerVessel","granTot","-1","-1",FALSE,"granTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"279",279,"PMICGRAN",TRUE,TRUE,TRUE,"cerVessel","granPMic","-1","-1",FALSE,"granular","-1",FALSE,TRUE,FALSE,TRUE,"-1"
"280",280,"MICCGRAN",TRUE,TRUE,TRUE,"cerVessel","granMicc","-1","-1",FALSE,"granular","-1",FALSE,TRUE,FALSE,TRUE,"-1"
"281",281,"TLAMGRAN",TRUE,TRUE,TRUE,"cerVessel","granTlam","-1","-1",FALSE,"granular","-1",FALSE,TRUE,FALSE,TRUE,"-1"
"282",282,"XOLAGRAN",TRUE,TRUE,TRUE,"cerVessel","granXola","-1","-1",FALSE,"granular","-1",FALSE,TRUE,FALSE,TRUE,"-1"
"283",283,"METEGRAN",TRUE,TRUE,TRUE,"cerVessel","granMete","-1","-1",FALSE,"granular","-1",FALSE,TRUE,FALSE,TRUE,"-1"
"284",284,"CERADISK",TRUE,TRUE,TRUE,"cerNonVessel","ceramicDisk","-1","-1",FALSE,"ceramicDisk","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"285",285,"SOBSIWK1",TRUE,TRUE,TRUE,"workshop","obsidianSpencePhase1","Codes_workshopSpence1","-1",FALSE,"obsidianSpencePhase1","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"286",286,"SOBSIWK2",TRUE,TRUE,TRUE,"workshop","obsidianSpencePhase2","Codes_workshopSpence2","-1",FALSE,"obsidianSpencePhase2","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"287",287,"KCERAWKS",TRUE,TRUE,TRUE,"workshop","ceramicKrotser","Codes_workshopKrotser","-1",FALSE,"ceramicKrotser","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"288",288,"BFIGCONC",TRUE,TRUE,TRUE,"workshop","figurineConcBarbour","-1","-1",FALSE,"figurineConcBarbour","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"289",289,"AREASTRC",TRUE,TRUE,TRUE,"description","areaStruct","-1","-1",FALSE,"areaStruct","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"290",290,"INSUBSTR",TRUE,TRUE,TRUE,"archInterp","insubstantialCount","-1","-1",FALSE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"-1"
"291",291,"QUALBND",TRUE,TRUE,TRUE,"archInterp","boundInfoQual","-1","-1",FALSE,"boundInfoQual","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"292",292,"-1",FALSE,FALSE,FALSE,"-1","-1","-1","-1",FALSE,"unworkedBone","-1",FALSE,FALSE,FALSE,TRUE,"-1"
"293",0,"SSN",TRUE,TRUE,TRUE,"location","SSN","-1","-1",FALSE,"SSN","-1",FALSE,FALSE,FALSE,FALSE,"-1"
